scenario,episode,particle_count,max_particles_setting,MAE,MSE,RMSE,total_inference_time_ms,avg_time_per_step_ms,throughput_fps,peak_memory_mb,baseline_memory_mb,memory_overhead_mb,total_timesteps,device,run_id,base_scenario
dam_break_1000p_run1,0,1000,1000,0.043675683438777924,0.0033794010523706675,0.058132616080567606,1839.732177734375,61.324405670166016,16.3067214279827,1021.09375,484.515625,536.578125,30,mps,1,dam_break_1000p
dam_break_2000p_run1,0,2000,2000,0.030693775042891502,0.0015825412701815367,0.03978116728027895,4521.41357421875,150.7137908935547,6.63509287419009,1166.109375,1023.609375,142.5,30,mps,1,dam_break_2000p
dam_break_3000p_run1,0,3000,3000,0.0341002382338047,0.0018045956967398524,0.04248053315037198,13051.58984375,435.0530090332031,2.298570471267974,1287.125,1166.109375,121.015625,30,mps,1,dam_break_3000p
dam_break_3000p_run1,0,5000,5000,0.034512899816036224,0.001886222162283957,0.04343065924302735,22890.759765625,763.0253295898438,1.3105724819614304,1233.921875,1166.5625,67.359375,30,mps,1,dam_break_3000p
dam_break_1000p_run2,0,1000,1000,0.043709080666303635,0.003385910065844655,0.0581885733271117,1156.4671630859375,38.54890441894531,25.941074463027753,1263.515625,1177.21875,86.296875,30,mps,2,dam_break_1000p
dam_break_2000p_run2,0,2000,2000,0.030791932716965675,0.0015875677345320582,0.03984429362571331,4690.103515625,156.33677673339844,6.396447597901439,1317.859375,1255.71875,62.140625,30,mps,2,dam_break_2000p
dam_break_3000p_run2,0,3000,3000,0.0340360552072525,0.0018002174329012632,0.04242896926512902,12421.56640625,414.0522155761719,2.415154326872653,1327.3125,1223.265625,104.046875,30,mps,2,dam_break_3000p
dam_break_3000p_run2,0,5000,5000,0.03453380614519119,0.0018873832887038589,0.0434440247756105,22529.08984375,750.9696655273438,1.3316117093728186,1393.15625,1286.0,107.15625,30,mps,2,dam_break_3000p
dam_break_1000p_run3,0,1000,1000,0.04375834763050079,0.003393706167116761,0.05825552477762741,1168.201171875,38.940040588378906,25.68050738751504,1386.53125,1269.890625,116.640625,30,mps,3,dam_break_1000p
dam_break_2000p_run3,0,2000,2000,0.030592389404773712,0.0015720773953944445,0.03964943121148706,4640.23046875,154.67434692382812,6.465196200197736,1476.578125,1386.546875,90.03125,30,mps,3,dam_break_2000p
dam_break_3000p_run3,0,3000,3000,0.03413299471139908,0.0018058030400425196,0.0424947413222215,12055.642578125,401.8547668457031,2.488461211619674,1412.640625,1295.03125,117.609375,30,mps,3,dam_break_3000p
dam_break_3000p_run3,0,5000,5000,0.0345303975045681,0.0018878807313740253,0.04344974949725286,22515.3671875,750.5122680664062,1.3324232561532476,1402.515625,1329.9375,72.578125,30,mps,3,dam_break_3000p
dam_break_1000p_run4,0,1000,1000,0.043612342327833176,0.003379486035555601,0.0581333470183474,1242.8709716796875,41.42903137207031,24.137663056108945,1355.109375,1255.03125,100.078125,30,mps,4,dam_break_1000p
dam_break_2000p_run4,0,2000,2000,0.03054174967110157,0.0015643473016098142,0.03955183057217218,4629.11376953125,154.3037872314453,6.480722333147061,1432.625,1355.109375,77.515625,30,mps,4,dam_break_2000p
dam_break_3000p_run4,0,3000,3000,0.03406944125890732,0.0018029154743999243,0.04246075216479242,12318.373046875,410.6124267578125,2.4353865953253777,1531.125,1432.65625,98.46875,30,mps,4,dam_break_3000p
dam_break_3000p_run4,0,5000,5000,0.03452394902706146,0.0018875011010095477,0.043445380663651084,23472.546875,782.418212890625,1.2780888577548883,1486.796875,1426.015625,60.78125,30,mps,4,dam_break_3000p
dam_break_1000p_run5,0,1000,1000,0.04376749321818352,0.0033933205995708704,0.058252215404831345,1133.4876708984375,37.782920837402344,26.4669850248865,1317.75,1227.140625,90.609375,30,mps,5,dam_break_1000p
dam_break_2000p_run5,0,2000,2000,0.030673922970891,0.0015757735818624496,0.039696014684883034,4640.58447265625,154.68614196777344,6.464703219557542,1367.1875,1313.84375,53.34375,30,mps,5,dam_break_2000p
dam_break_3000p_run5,0,3000,3000,0.03397393971681595,0.0017933660419657826,0.04234815275742004,12233.431640625,407.78106689453125,2.452296296185425,1441.203125,1367.1875,74.015625,30,mps,5,dam_break_3000p
dam_break_3000p_run5,0,5000,5000,0.03452666103839874,0.001887089223600924,0.043440640230099324,22913.40234375,763.7800903320312,1.3092773858052245,1499.890625,1417.390625,82.5,30,mps,5,dam_break_3000p
