scenario,episode,particle_count,max_particles_setting,MAE,MSE,RMSE,total_inference_time_ms,avg_time_per_step_ms,throughput_fps,peak_memory_mb,baseline_memory_mb,memory_overhead_mb,total_timesteps,device,run_id,base_scenario
ldc_1000p_run1,0,1000,1000,0.016390768811106682,0.0006304376875050366,0.025108518225993276,7608.2529296875,253.60842895507812,3.943086608438913,2207.828125,610.328125,1597.5,30,mps,1,ldc_1000p
ldc_2000p_run1,0,2000,2000,0.017320718616247177,0.0006833428051322699,0.02614082640492205,14437.5458984375,481.25152587890625,2.077915489563814,2507.015625,2507.015625,0.0,30,mps,1,ldc_2000p
ldc_1000p_run2,0,1000,1000,0.016486970707774162,0.0006388443289324641,0.02527537000584688,5856.8466796875,195.2282257080078,5.122210153646765,2223.734375,2034.625,189.109375,30,mps,2,ldc_1000p
ldc_2000p_run2,0,2000,2000,0.017358997836709023,0.0006887761410325766,0.026244544976672324,10141.7392578125,338.0579833984375,2.958072428721179,2600.5,2600.5,0.0,30,mps,2,ldc_2000p
ldc_1000p_run3,0,1000,1000,0.016383640468120575,0.0006260019144974649,0.025020030265718404,6991.65087890625,233.05502319335938,4.290832209054457,2652.40625,946.734375,1705.671875,30,mps,3,ldc_1000p
ldc_2000p_run3,0,2000,2000,0.017320938408374786,0.0006831474020145833,0.02613708862927513,11543.8251953125,384.7941589355469,2.5987920470682098,2644.171875,2599.4375,44.734375,30,mps,3,ldc_2000p
ldc_1000p_run4,0,1000,1000,0.016498398035764694,0.0006381095736287534,0.025260830818259986,5836.36767578125,194.54559326171875,5.140183250795703,2696.9375,689.59375,2007.34375,30,mps,4,ldc_1000p
ldc_2000p_run4,0,2000,2000,0.01729333959519863,0.000681062403600663,0.02609717232959661,12511.208984375,417.0403137207031,2.39784972123753,2652.5,2634.703125,17.796875,30,mps,4,ldc_2000p
ldc_1000p_run5,0,1000,1000,0.016394393518567085,0.0006287767901085317,0.025075422032510872,7136.734375,237.89114379882812,4.203603312133581,2679.890625,1268.421875,1411.46875,30,mps,5,ldc_1000p
ldc_2000p_run5,0,2000,2000,0.017364587634801865,0.0006895142141729593,0.026258602669848207,11513.619140625,383.78729248046875,2.6056099813437434,2213.34375,1116.296875,1097.046875,30,mps,5,ldc_2000p
ldc_3000p_run1,0,3000,3000,0.018244693726539612,0.0007632184503972531,0.02762642301924765,21563.7216796875,718.7907226562500,1.390044075217298,2808.234375,2808.234375,0.0,30,mps,1,ldc_3000p
ldc_5000p_run1,0,5000,5000,0.019872135669326782,0.0008976531248837709,0.02996086963489652,36782.4589843750,1226.0819549560547,0.815596681493698,3265.953125,3265.953125,0.0,30,mps,1,ldc_5000p
ldc_3000p_run2,0,3000,3000,0.018302764892578125,0.0007695643287964165,0.02774103268980980,16784.8437500000,559.4947814941406,1.787142939731655,2763.921875,2763.921875,0.0,30,mps,2,ldc_3000p
ldc_5000p_run2,0,5000,5000,0.019914562255144119,0.0009015673892945051,0.03002612873911858,31452.8750000000,1048.4291687011719,0.953807479570219,3329.781250,3329.781250,0.0,30,mps,2,ldc_5000p
ldc_3000p_run3,0,3000,3000,0.018276183307170868,0.0007671392940729856,0.02769727043807507,17921.7539062500,597.3918151855469,1.673782191403587,2819.890625,2763.156250,56.734375,30,mps,3,ldc_3000p
ldc_5000p_run3,0,5000,5000,0.019895387068390846,0.0008994527670368552,0.02999087695777416,33967.4609375000,1132.2486877441406,0.883157806854748,3372.562500,3372.562500,0.0,30,mps,3,ldc_5000p
ldc_3000p_run4,0,3000,3000,0.018257926404476166,0.0007648763428628445,0.02765639686584472,18952.7382812500,631.7579345703125,1.582865778034301,2831.765625,2785.328125,46.437500,30,mps,4,ldc_3000p
ldc_5000p_run4,0,5000,5000,0.019838562607765198,0.0008934516858309507,0.02989066421240568,35218.9921875000,1173.9664306640625,0.851825818157061,3395.218750,3395.218750,0.0,30,mps,4,ldc_5000p
ldc_3000p_run5,0,3000,3000,0.018231597542762756,0.0007612946454435587,0.02759157709032297,19287.3417968750,642.9113769531250,1.555399157272050,2825.078125,2106.765625,718.312500,30,mps,5,ldc_3000p
ldc_5000p_run5,0,5000,5000,0.019928714632987976,0.0009047892641611397,0.03008303932845592,34675.2734375000,1155.8424377441406,0.865165174822938,3388.640625,2789.375000,599.265625,30,mps,5,ldc_5000p
